iter	Passed	Remaining
0	17	2486
1	28	1966
2	41	1911
3	51	1763
4	65	1786
5	77	1745
6	86	1677
7	97	1639
8	107	1593
9	119	1577
10	130	1551
11	141	1537
12	152	1511
13	165	1514
14	178	1508
15	188	1485
16	205	1507
17	215	1481
18	226	1466
19	239	1462
20	251	1448
21	263	1436
22	273	1414
23	285	1402
24	294	1379
25	305	1365
26	313	1334
27	324	1321
28	334	1303
29	345	1291
30	355	1273
31	369	1268
32	380	1258
33	391	1243
34	416	1271
35	432	1272
36	445	1264
37	454	1245
38	469	1240
39	481	1227
40	491	1210
41	503	1198
42	512	1180
43	525	1169
44	538	1160
45	553	1154
46	569	1151
47	584	1144
48	604	1147
49	615	1131
50	625	1116
51	642	1111
52	659	1108
53	674	1099
54	687	1086
55	696	1070
56	708	1055
57	717	1039
58	729	1025
59	739	1010
60	751	997
61	761	982
62	773	969
63	784	955
64	794	941
65	804	926
66	820	918
67	844	919
68	864	914
69	877	902
70	887	887
71	899	874
72	912	862
73	926	851
74	943	842
75	956	830
76	969	818
77	985	808
78	1000	797
79	1014	786
80	1026	773
81	1046	766
82	1063	756
83	1078	744
84	1091	732
85	1106	720
86	1119	707
87	1129	693
88	1142	680
89	1153	666
90	1165	653
91	1175	638
92	1185	624
93	1197	611
94	1210	598
95	1221	585
96	1234	572
97	1246	559
98	1259	546
99	1268	532
100	1287	522
101	1300	509
102	1309	495
103	1325	484
104	1338	471
105	1348	457
106	1360	444
107	1370	431
108	1383	418
109	1393	405
110	1406	392
111	1416	379
112	1428	366
113	1439	353
114	1449	340
115	1460	327
116	1469	314
117	1481	301
118	1495	288
119	1533	281
120	1595	276
121	1622	266
122	1650	255
123	1683	244
124	1696	230
125	1711	217
126	1724	203
127	1735	189
128	1746	175
129	1758	162
130	1770	148
131	1779	134
132	1790	121
133	1801	107
134	1814	94
135	1825	80
136	1836	67
137	1846	53
138	1856	40
139	1866	26
140	1878	13
141	1888	0
